Pavarde            Vardas       Galutinis
-------------------------------------------------------
Kazlauskas         1Vardenis   6.04
Urbonas            2Vardenis   6.32
Navickas           4Vardenis   5.36
Jankauskas         5Vardenis   5.80
Navickas           6Vardenis   7.68
Vasiliauskas       7Vardenis   7.08
Vasiliauskas       8Vardenis   5.88
Jankauskas         9Vardenis   7.36
Pranevicius        10Vardenis  6.84
Kavaliauskas       11Vardenis  5.64
Petrauskas         13Vardenis  8.32
Vasiliauskas       14Vardenis  6.28
Vasiliauskas       17Vardenis  7.56
Vasiliauskas       18Vardenis  6.56
Kazlauskas         21Vardenis  5.20
Butkus             22Vardenis  8.48
Urbonas            25Vardenis  5.28
Petrauskas         28Vardenis  8.04
Navickas           29Vardenis  8.48
Kavaliauskas       30Vardenis  5.04
Butkus             32Vardenis  8.16
Butkus             33Vardenis  7.64
Petrauskas         34Vardenis  5.44
Vasiliauskas       38Vardenis  7.28
Ramanauskas        40Vardenis  7.80
Urbonas            41Vardenis  6.84
Urbonas            42Vardenis  8.24
Kazlauskas         46Vardenis  6.96
Ramanauskas        48Vardenis  6.20
Butkus             49Vardenis  8.24
Kazlauskas         51Vardenis  6.72
Vasiliauskas       52Vardenis  6.16
Ramanauskas        55Vardenis  5.36
Jankauskas         58Vardenis  5.20
Urbonas            60Vardenis  6.56
Kazlauskas         61Vardenis  5.36
Vasiliauskas       62Vardenis  6.80
Petrauskas         63Vardenis  7.80
Petrauskas         65Vardenis  8.20
Kazlauskas         67Vardenis  7.92
Navickas           68Vardenis  5.52
Navickas           72Vardenis  7.48
Kazlauskas         73Vardenis  5.36
Butkus             75Vardenis  6.68
Jankauskas         76Vardenis  5.00
Petrauskas         77Vardenis  6.60
Pranevicius        80Vardenis  6.72
Butkus             81Vardenis  5.40
Urbonas            83Vardenis  6.88
Petrauskas         84Vardenis  7.64
Vasiliauskas       86Vardenis  6.36
Kazlauskas         89Vardenis  7.48
Ramanauskas        91Vardenis  7.28
Butkus             92Vardenis  6.72
Ramanauskas        94Vardenis  5.72
Navickas           95Vardenis  6.60
Butkus             97Vardenis  7.00
Jankauskas         98Vardenis  6.00
Butkus             101Vardenis 6.24
Petrauskas         102Vardenis 6.96
Urbonas            104Vardenis 7.16
Kazlauskas         105Vardenis 5.84
Ramanauskas        106Vardenis 5.52
Jankauskas         108Vardenis 6.92
Butkus             109Vardenis 5.56
Kavaliauskas       110Vardenis 6.60
Ramanauskas        111Vardenis 5.04
Ramanauskas        112Vardenis 7.80
Navickas           113Vardenis 5.16
Navickas           114Vardenis 7.88
