Pavarde            Vardas       Galutinis
-------------------------------------------------------
Kavaliauskas       2Vardenis   2.80
Ramanauskas        4Vardenis   3.28
Vasiliauskas       6Vardenis   2.68
Kazlauskas         9Vardenis   3.48
Pranevicius        10Vardenis  4.80
Petrauskas         11Vardenis  4.28
Navickas           16Vardenis  3.80
Kazlauskas         19Vardenis  3.20
Butkus             24Vardenis  3.96
Pranevicius        25Vardenis  3.56
Ramanauskas        26Vardenis  4.80
Vasiliauskas       29Vardenis  4.48
Petrauskas         31Vardenis  4.16
Butkus             32Vardenis  3.04
Petrauskas         33Vardenis  3.72
Butkus             35Vardenis  2.20
Jankauskas         36Vardenis  4.84
Urbonas            41Vardenis  2.80
Navickas           42Vardenis  4.36
Kavaliauskas       44Vardenis  4.08
Butkus             46Vardenis  4.60
Petrauskas         47Vardenis  4.36
Pranevicius        51Vardenis  2.80
Kazlauskas         53Vardenis  4.52
Butkus             56Vardenis  3.92
Kazlauskas         57Vardenis  2.68
Urbonas            58Vardenis  2.36
Kazlauskas         61Vardenis  4.36
Urbonas            67Vardenis  3.88
Ramanauskas        68Vardenis  4.96
Pranevicius        70Vardenis  4.08
Petrauskas         72Vardenis  4.56
Kazlauskas         73Vardenis  3.76
Urbonas            74Vardenis  2.20
Jankauskas         75Vardenis  3.12
Pranevicius        76Vardenis  3.84
Vasiliauskas       78Vardenis  3.64
Ramanauskas        80Vardenis  3.68
Urbonas            85Vardenis  4.28
Butkus             86Vardenis  4.92
Urbonas            87Vardenis  3.32
Pranevicius        92Vardenis  4.56
Jankauskas         93Vardenis  3.64
Butkus             97Vardenis  2.28
Vasiliauskas       101Vardenis 2.28
Kazlauskas         102Vardenis 3.92
Pranevicius        103Vardenis 3.92
Jankauskas         104Vardenis 4.84
Petrauskas         106Vardenis 2.84
Petrauskas         110Vardenis 3.72
Urbonas            112Vardenis 4.40
Urbonas            116Vardenis 3.12
Kazlauskas         121Vardenis 2.92
Petrauskas         122Vardenis 4.16
Pranevicius        123Vardenis 3.52
Kavaliauskas       125Vardenis 4.16
Ramanauskas        127Vardenis 4.52
Kazlauskas         130Vardenis 3.48
Navickas           133Vardenis 4.36
Petrauskas         136Vardenis 3.92
Urbonas            137Vardenis 4.72
Kavaliauskas       138Vardenis 4.44
Butkus             142Vardenis 4.60
Pranevicius        145Vardenis 3.80
Navickas           147Vardenis 4.80
Jankauskas         149Vardenis 2.04
Butkus             150Vardenis 2.76
Ramanauskas        151Vardenis 4.36
Petrauskas         154Vardenis 2.60
Ramanauskas        156Vardenis 3.56
Butkus             159Vardenis 4.00
Pranevicius        160Vardenis 2.36
Navickas           161Vardenis 3.08
Vasiliauskas       162Vardenis 1.64
Jankauskas         163Vardenis 2.28
Urbonas            164Vardenis 3.60
Kazlauskas         165Vardenis 4.12
Kavaliauskas       167Vardenis 2.36
Navickas           168Vardenis 4.52
Ramanauskas        169Vardenis 3.60
Jankauskas         171Vardenis 4.36
Jankauskas         173Vardenis 3.84
Petrauskas         174Vardenis 4.00
Kavaliauskas       175Vardenis 4.72
Petrauskas         178Vardenis 3.00
Urbonas            179Vardenis 3.64
Vasiliauskas       181Vardenis 3.92
Pranevicius        183Vardenis 2.84
Butkus             184Vardenis 3.88
Kavaliauskas       185Vardenis 3.56
Urbonas            186Vardenis 2.96
Vasiliauskas       190Vardenis 2.96
Ramanauskas        191Vardenis 4.28
Kavaliauskas       194Vardenis 2.04
Jankauskas         195Vardenis 4.40
Kazlauskas         196Vardenis 4.88
Kavaliauskas       197Vardenis 2.76
Butkus             200Vardenis 4.08
Jankauskas         201Vardenis 3.68
Kazlauskas         208Vardenis 2.60
Navickas           209Vardenis 4.36
Kazlauskas         210Vardenis 4.88
Ramanauskas        212Vardenis 4.28
Pranevicius        216Vardenis 3.00
Ramanauskas        217Vardenis 2.40
Jankauskas         218Vardenis 4.60
Kavaliauskas       219Vardenis 2.20
Kavaliauskas       221Vardenis 3.20
Navickas           225Vardenis 2.92
Vasiliauskas       226Vardenis 4.96
Pranevicius        227Vardenis 3.64
Kavaliauskas       228Vardenis 4.04
Navickas           229Vardenis 4.20
Urbonas            230Vardenis 4.92
Pranevicius        232Vardenis 2.76
Ramanauskas        234Vardenis 3.44
Jankauskas         235Vardenis 2.68
Pranevicius        236Vardenis 3.00
Jankauskas         239Vardenis 4.76
