Pavarde            Vardas       Galutinis
-------------------------------------------------------
Vasiliauskas       2Vardenis   2.36
Kazlauskas         3Vardenis   3.72
Kazlauskas         6Vardenis   3.08
Kavaliauskas       8Vardenis   1.40
Petrauskas         12Vardenis  3.28
Vasiliauskas       14Vardenis  4.96
Petrauskas         26Vardenis  4.84
Kavaliauskas       28Vardenis  3.52
Petrauskas         31Vardenis  3.96
Navickas           33Vardenis  4.96
Jankauskas         34Vardenis  4.32
Butkus             35Vardenis  4.48
Pranevicius        37Vardenis  3.12
Pranevicius        39Vardenis  3.80
Ramanauskas        40Vardenis  2.60
Navickas           42Vardenis  4.52
Jankauskas         45Vardenis  3.60
Petrauskas         52Vardenis  4.68
Navickas           57Vardenis  3.12
Vasiliauskas       62Vardenis  4.64
Jankauskas         64Vardenis  4.24
Jankauskas         66Vardenis  4.28
Vasiliauskas       71Vardenis  4.52
Pranevicius        73Vardenis  3.40
Kavaliauskas       76Vardenis  3.28
Vasiliauskas       79Vardenis  3.24
Pranevicius        80Vardenis  4.52
Navickas           83Vardenis  4.88
Navickas           86Vardenis  3.52
Navickas           87Vardenis  4.16
Kazlauskas         88Vardenis  4.96
Kazlauskas         90Vardenis  4.48
Petrauskas         91Vardenis  4.84
Kazlauskas         94Vardenis  4.12
Jankauskas         98Vardenis  2.60
Vasiliauskas       99Vardenis  4.48
Ramanauskas        101Vardenis 4.88
Kazlauskas         107Vardenis 3.92
Pranevicius        108Vardenis 2.52
Navickas           112Vardenis 3.56
Kazlauskas         117Vardenis 4.28
Pranevicius        119Vardenis 3.64
Jankauskas         120Vardenis 3.08
Vasiliauskas       129Vardenis 4.88
Ramanauskas        130Vardenis 4.68
Ramanauskas        131Vardenis 2.68
Butkus             132Vardenis 3.96
Butkus             140Vardenis 4.28
Jankauskas         144Vardenis 4.96
Jankauskas         147Vardenis 3.84
Pranevicius        148Vardenis 4.04
Jankauskas         150Vardenis 3.84
Ramanauskas        152Vardenis 4.60
Butkus             153Vardenis 4.60
Vasiliauskas       155Vardenis 3.40
Kavaliauskas       159Vardenis 3.04
Vasiliauskas       164Vardenis 3.76
Ramanauskas        167Vardenis 4.64
Ramanauskas        170Vardenis 4.12
Kavaliauskas       177Vardenis 3.64
Jankauskas         182Vardenis 3.80
Jankauskas         183Vardenis 3.72
Petrauskas         184Vardenis 2.04
Jankauskas         185Vardenis 3.44
Kavaliauskas       186Vardenis 4.80
Jankauskas         187Vardenis 2.68
