Pavarde            Vardas       Galutinis
-------------------------------------------------------
Vasiliauskas       7Vardenis   2.28
Vasiliauskas       9Vardenis   4.32
Petrauskas         11Vardenis  4.16
Navickas           14Vardenis  2.88
Petrauskas         15Vardenis  3.00
Ramanauskas        19Vardenis  4.80
Ramanauskas        21Vardenis  3.60
Navickas           22Vardenis  4.64
Urbonas            26Vardenis  4.12
Urbonas            30Vardenis  3.28
Jankauskas         33Vardenis  3.72
Vasiliauskas       36Vardenis  4.64
Urbonas            38Vardenis  3.24
Jankauskas         39Vardenis  2.92
Jankauskas         41Vardenis  3.28
Vasiliauskas       44Vardenis  3.76
Kazlauskas         45Vardenis  2.68
Kavaliauskas       52Vardenis  3.76
Kazlauskas         56Vardenis  3.72
Kazlauskas         57Vardenis  3.44
Ramanauskas        60Vardenis  3.40
Petrauskas         63Vardenis  2.12
Navickas           68Vardenis  2.92
Kazlauskas         69Vardenis  4.32
Jankauskas         71Vardenis  3.20
Jankauskas         72Vardenis  4.00
Butkus             73Vardenis  3.64
Navickas           74Vardenis  4.16
Kavaliauskas       82Vardenis  3.32
Vasiliauskas       83Vardenis  4.64
Pranevicius        92Vardenis  4.00
Jankauskas         94Vardenis  3.68
Kavaliauskas       95Vardenis  3.20
Kavaliauskas       97Vardenis  1.96
Petrauskas         98Vardenis  4.64
Navickas           100Vardenis 4.56
Vasiliauskas       101Vardenis 1.96
Navickas           102Vardenis 4.00
Urbonas            104Vardenis 4.92
Kavaliauskas       105Vardenis 4.24
Kavaliauskas       107Vardenis 4.04
Kavaliauskas       109Vardenis 2.52
Urbonas            110Vardenis 3.84
Vasiliauskas       112Vardenis 2.52
Butkus             114Vardenis 4.96
Urbonas            116Vardenis 2.36
Kazlauskas         120Vardenis 3.16
Ramanauskas        121Vardenis 4.44
Ramanauskas        123Vardenis 4.80
Navickas           124Vardenis 3.80
Pranevicius        126Vardenis 3.96
Jankauskas         128Vardenis 3.52
Navickas           130Vardenis 1.84
Kazlauskas         132Vardenis 4.96
Urbonas            133Vardenis 4.76
Ramanauskas        137Vardenis 2.36
Petrauskas         141Vardenis 3.72
Navickas           147Vardenis 2.52
Urbonas            153Vardenis 3.32
Butkus             154Vardenis 3.88
Kazlauskas         156Vardenis 2.08
Ramanauskas        157Vardenis 4.28
Vasiliauskas       158Vardenis 3.12
Kazlauskas         159Vardenis 3.08
Butkus             161Vardenis 2.96
Vasiliauskas       162Vardenis 4.76
Navickas           164Vardenis 3.84
Ramanauskas        165Vardenis 4.36
Vasiliauskas       166Vardenis 3.84
Butkus             169Vardenis 3.68
Navickas           171Vardenis 4.76
Pranevicius        172Vardenis 3.84
Vasiliauskas       173Vardenis 4.32
Urbonas            175Vardenis 3.92
Petrauskas         176Vardenis 3.68
Kazlauskas         177Vardenis 3.44
Jankauskas         179Vardenis 3.64
Petrauskas         180Vardenis 3.80
Jankauskas         181Vardenis 3.24
Navickas           182Vardenis 3.04
Pranevicius        184Vardenis 3.44
Ramanauskas        185Vardenis 4.20
Butkus             186Vardenis 2.52
Petrauskas         188Vardenis 3.40
Butkus             195Vardenis 3.92
Vasiliauskas       202Vardenis 3.60
Ramanauskas        203Vardenis 3.68
Petrauskas         204Vardenis 4.76
Navickas           205Vardenis 2.96
Kazlauskas         206Vardenis 3.52
Kavaliauskas       208Vardenis 4.88
Urbonas            209Vardenis 4.76
Kavaliauskas       212Vardenis 4.52
Pranevicius        215Vardenis 4.84
Ramanauskas        216Vardenis 4.28
Pranevicius        219Vardenis 2.92
Jankauskas         220Vardenis 2.84
Urbonas            221Vardenis 3.40
Kavaliauskas       222Vardenis 3.64
Butkus             233Vardenis 4.28
Navickas           234Vardenis 3.84
Ramanauskas        236Vardenis 3.64
Pranevicius        239Vardenis 2.36
Pranevicius        243Vardenis 4.52
Jankauskas         246Vardenis 3.00
Ramanauskas        248Vardenis 4.60
Ramanauskas        249Vardenis 4.72
Kavaliauskas       250Vardenis 3.68
Butkus             251Vardenis 3.80
Pranevicius        252Vardenis 2.56
Kazlauskas         254Vardenis 4.60
Pranevicius        255Vardenis 4.72
Kazlauskas         256Vardenis 4.76
Vasiliauskas       257Vardenis 2.44
Jankauskas         266Vardenis 3.20
Ramanauskas        267Vardenis 4.28
Urbonas            269Vardenis 2.12
Jankauskas         274Vardenis 4.48
Petrauskas         275Vardenis 3.44
Butkus             279Vardenis 2.92
Ramanauskas        285Vardenis 4.68
Urbonas            288Vardenis 3.24
Urbonas            296Vardenis 3.72
Navickas           297Vardenis 4.96
Petrauskas         298Vardenis 3.80
Pranevicius        299Vardenis 3.72
Navickas           303Vardenis 4.00
Butkus             305Vardenis 3.76
Kazlauskas         306Vardenis 4.40
Pranevicius        307Vardenis 4.28
Pranevicius        310Vardenis 2.20
Ramanauskas        313Vardenis 3.12
Vasiliauskas       314Vardenis 3.32
Petrauskas         316Vardenis 3.72
Ramanauskas        319Vardenis 2.80
Kazlauskas         320Vardenis 2.20
Navickas           323Vardenis 2.68
Ramanauskas        324Vardenis 2.92
Vasiliauskas       325Vardenis 4.08
Kavaliauskas       326Vardenis 3.20
Kazlauskas         327Vardenis 4.76
Petrauskas         330Vardenis 2.60
Vasiliauskas       331Vardenis 4.32
Urbonas            332Vardenis 4.76
Vasiliauskas       334Vardenis 2.32
Pranevicius        336Vardenis 3.88
Urbonas            339Vardenis 4.76
Petrauskas         340Vardenis 4.40
Butkus             341Vardenis 3.68
Butkus             342Vardenis 4.48
Kazlauskas         344Vardenis 2.80
Ramanauskas        346Vardenis 4.96
Butkus             347Vardenis 4.64
Petrauskas         348Vardenis 3.68
Pranevicius        350Vardenis 3.40
Pranevicius        353Vardenis 3.64
Urbonas            354Vardenis 4.20
Kazlauskas         358Vardenis 1.80
Kavaliauskas       359Vardenis 3.64
Jankauskas         363Vardenis 4.72
Urbonas            364Vardenis 3.04
Ramanauskas        367Vardenis 3.20
Navickas           368Vardenis 4.88
Navickas           370Vardenis 4.16
Ramanauskas        371Vardenis 4.88
Pranevicius        376Vardenis 4.28
Navickas           377Vardenis 4.12
Jankauskas         379Vardenis 4.24
Pranevicius        388Vardenis 3.80
Urbonas            389Vardenis 4.16
Jankauskas         399Vardenis 4.20
Butkus             404Vardenis 3.76
Navickas           414Vardenis 3.68
Navickas           415Vardenis 3.52
Butkus             416Vardenis 3.40
Navickas           417Vardenis 4.76
Kazlauskas         422Vardenis 4.36
Vasiliauskas       424Vardenis 2.20
Urbonas            425Vardenis 4.56
Navickas           431Vardenis 2.36
Navickas           434Vardenis 3.16
Vasiliauskas       440Vardenis 3.32
Kavaliauskas       441Vardenis 3.96
Kavaliauskas       442Vardenis 4.20
Navickas           448Vardenis 4.80
Navickas           454Vardenis 3.96
Kavaliauskas       456Vardenis 3.52
Jankauskas         457Vardenis 1.88
Jankauskas         460Vardenis 4.60
Jankauskas         464Vardenis 2.60
Pranevicius        467Vardenis 4.68
Ramanauskas        468Vardenis 4.52
Jankauskas         469Vardenis 2.28
Petrauskas         470Vardenis 3.88
Ramanauskas        472Vardenis 4.96
Petrauskas         473Vardenis 2.92
Navickas           477Vardenis 3.68
Petrauskas         483Vardenis 3.64
Ramanauskas        484Vardenis 4.48
Butkus             486Vardenis 3.20
Kazlauskas         489Vardenis 3.56
Ramanauskas        492Vardenis 3.04
Pranevicius        493Vardenis 3.60
Butkus             495Vardenis 4.60
Kavaliauskas       500Vardenis 2.60
Vasiliauskas       502Vardenis 3.52
Kazlauskas         504Vardenis 4.20
Jankauskas         505Vardenis 4.40
Navickas           506Vardenis 4.88
Butkus             507Vardenis 4.88
Pranevicius        509Vardenis 2.20
Jankauskas         510Vardenis 2.60
Navickas           511Vardenis 4.16
Butkus             513Vardenis 4.56
Kavaliauskas       516Vardenis 4.80
Kavaliauskas       523Vardenis 3.44
Jankauskas         525Vardenis 3.44
Urbonas            528Vardenis 4.92
Kazlauskas         537Vardenis 3.76
Ramanauskas        539Vardenis 3.12
Urbonas            545Vardenis 1.64
Jankauskas         546Vardenis 4.72
Navickas           547Vardenis 4.96
Urbonas            549Vardenis 3.76
Kavaliauskas       551Vardenis 2.60
Ramanauskas        554Vardenis 3.76
Jankauskas         558Vardenis 4.72
Vasiliauskas       559Vardenis 4.00
Jankauskas         562Vardenis 4.76
Vasiliauskas       563Vardenis 4.36
Petrauskas         564Vardenis 2.80
Pranevicius        567Vardenis 2.44
Kavaliauskas       569Vardenis 4.76
Petrauskas         570Vardenis 3.96
Kazlauskas         576Vardenis 4.76
Urbonas            580Vardenis 4.40
Butkus             582Vardenis 3.40
Pranevicius        585Vardenis 3.88
Kazlauskas         587Vardenis 4.56
Jankauskas         593Vardenis 4.96
Vasiliauskas       596Vardenis 2.88
Kazlauskas         606Vardenis 3.40
Vasiliauskas       607Vardenis 3.16
Vasiliauskas       609Vardenis 3.68
Ramanauskas        615Vardenis 4.76
Urbonas            617Vardenis 4.92
Kazlauskas         618Vardenis 3.60
Butkus             620Vardenis 4.52
Jankauskas         622Vardenis 3.72
Kavaliauskas       623Vardenis 2.92
Vasiliauskas       625Vardenis 3.08
Ramanauskas        626Vardenis 2.20
Kazlauskas         627Vardenis 4.84
Pranevicius        630Vardenis 3.76
Urbonas            632Vardenis 2.92
Pranevicius        640Vardenis 3.08
Navickas           645Vardenis 2.48
Navickas           647Vardenis 3.60
Ramanauskas        650Vardenis 2.92
Petrauskas         651Vardenis 4.76
Jankauskas         653Vardenis 4.12
Petrauskas         658Vardenis 1.96
Kazlauskas         661Vardenis 4.08
Jankauskas         663Vardenis 4.32
Kazlauskas         668Vardenis 3.40
Kavaliauskas       669Vardenis 4.56
Petrauskas         675Vardenis 4.16
Pranevicius        676Vardenis 2.24
Vasiliauskas       679Vardenis 3.00
Urbonas            682Vardenis 3.16
Vasiliauskas       683Vardenis 3.24
Ramanauskas        684Vardenis 4.32
Kavaliauskas       686Vardenis 4.56
Jankauskas         687Vardenis 4.00
Pranevicius        691Vardenis 2.76
Kazlauskas         692Vardenis 4.52
Jankauskas         694Vardenis 4.12
Ramanauskas        695Vardenis 3.88
Urbonas            696Vardenis 4.36
Urbonas            697Vardenis 3.00
Petrauskas         699Vardenis 2.12
Vasiliauskas       700Vardenis 3.00
Butkus             703Vardenis 3.72
Pranevicius        704Vardenis 4.28
Jankauskas         705Vardenis 2.84
Vasiliauskas       706Vardenis 2.56
Pranevicius        708Vardenis 4.32
Jankauskas         709Vardenis 3.44
Kavaliauskas       711Vardenis 3.36
Urbonas            712Vardenis 3.12
Kazlauskas         715Vardenis 2.44
Vasiliauskas       716Vardenis 4.88
Petrauskas         719Vardenis 3.80
Kazlauskas         720Vardenis 4.88
Vasiliauskas       722Vardenis 3.60
Jankauskas         723Vardenis 4.92
Pranevicius        726Vardenis 4.32
Navickas           729Vardenis 2.60
Butkus             733Vardenis 3.40
Vasiliauskas       734Vardenis 4.88
Urbonas            737Vardenis 2.92
Ramanauskas        738Vardenis 4.48
Navickas           739Vardenis 4.28
Jankauskas         740Vardenis 4.28
Butkus             743Vardenis 4.04
Kavaliauskas       744Vardenis 3.52
Ramanauskas        745Vardenis 4.00
Jankauskas         746Vardenis 4.68
Ramanauskas        747Vardenis 3.28
Kazlauskas         748Vardenis 2.76
Butkus             752Vardenis 4.04
Pranevicius        753Vardenis 4.16
Kazlauskas         754Vardenis 3.88
Butkus             756Vardenis 4.84
Ramanauskas        757Vardenis 3.32
Kazlauskas         759Vardenis 4.52
Petrauskas         763Vardenis 4.92
Urbonas            766Vardenis 3.92
Jankauskas         767Vardenis 4.00
Petrauskas         770Vardenis 3.96
Urbonas            771Vardenis 3.60
Ramanauskas        773Vardenis 3.80
Urbonas            791Vardenis 4.60
Kavaliauskas       793Vardenis 4.16
Petrauskas         795Vardenis 4.44
Vasiliauskas       796Vardenis 2.68
Butkus             799Vardenis 4.56
Navickas           800Vardenis 4.08
Urbonas            802Vardenis 4.08
Butkus             803Vardenis 4.20
Butkus             804Vardenis 3.72
Urbonas            805Vardenis 4.96
Ramanauskas        806Vardenis 3.16
Kavaliauskas       808Vardenis 3.56
Urbonas            809Vardenis 2.12
Jankauskas         810Vardenis 4.48
Butkus             811Vardenis 3.88
Navickas           812Vardenis 3.12
Kavaliauskas       814Vardenis 3.44
Vasiliauskas       818Vardenis 2.84
Butkus             821Vardenis 3.52
Kavaliauskas       823Vardenis 4.52
Navickas           824Vardenis 2.44
Vasiliauskas       825Vardenis 3.84
Kazlauskas         828Vardenis 3.92
Navickas           830Vardenis 3.04
Petrauskas         831Vardenis 4.12
Pranevicius        832Vardenis 3.44
Jankauskas         833Vardenis 3.76
Jankauskas         835Vardenis 3.16
Ramanauskas        838Vardenis 3.96
Butkus             839Vardenis 4.64
Jankauskas         840Vardenis 2.48
Navickas           841Vardenis 4.84
Vasiliauskas       842Vardenis 2.68
Urbonas            845Vardenis 4.60
Jankauskas         849Vardenis 3.16
Butkus             850Vardenis 3.56
Navickas           851Vardenis 4.44
Ramanauskas        857Vardenis 3.08
Urbonas            859Vardenis 2.76
Jankauskas         861Vardenis 3.04
Butkus             862Vardenis 3.84
Kazlauskas         863Vardenis 2.20
Navickas           867Vardenis 4.48
Vasiliauskas       872Vardenis 4.20
Kavaliauskas       876Vardenis 4.40
Butkus             877Vardenis 4.20
Petrauskas         878Vardenis 2.52
Butkus             882Vardenis 4.60
Ramanauskas        884Vardenis 3.12
Kavaliauskas       888Vardenis 4.64
Ramanauskas        891Vardenis 3.04
Jankauskas         892Vardenis 2.68
Navickas           893Vardenis 3.48
Urbonas            896Vardenis 4.36
Butkus             897Vardenis 3.00
Kazlauskas         899Vardenis 4.48
Navickas           901Vardenis 2.84
Pranevicius        904Vardenis 4.28
Kazlauskas         911Vardenis 3.40
Vasiliauskas       914Vardenis 4.04
Kazlauskas         919Vardenis 4.92
Petrauskas         921Vardenis 4.88
Vasiliauskas       923Vardenis 3.36
Ramanauskas        926Vardenis 4.80
Butkus             931Vardenis 4.56
Kavaliauskas       932Vardenis 2.84
Navickas           933Vardenis 4.92
Ramanauskas        935Vardenis 1.72
Urbonas            936Vardenis 4.60
Urbonas            937Vardenis 3.68
Jankauskas         938Vardenis 4.24
Petrauskas         940Vardenis 4.92
Vasiliauskas       945Vardenis 4.36
Petrauskas         946Vardenis 2.60
Jankauskas         948Vardenis 4.72
Urbonas            953Vardenis 3.76
Butkus             959Vardenis 4.00
Urbonas            963Vardenis 3.68
Urbonas            964Vardenis 4.64
Butkus             966Vardenis 3.64
