Pavarde            Vardas       Galutinis
-------------------------------------------------------
Petrauskas         1Vardenis   7.00
Vasiliauskas       3Vardenis   6.28
Pranevicius        5Vardenis   8.00
Jankauskas         7Vardenis   7.88
Navickas           8Vardenis   7.56
Urbonas            12Vardenis  5.00
Petrauskas         13Vardenis  6.44
Urbonas            14Vardenis  7.84
Ramanauskas        15Vardenis  7.88
Pranevicius        17Vardenis  6.56
Navickas           18Vardenis  6.08
Butkus             20Vardenis  7.92
Petrauskas         21Vardenis  7.32
Jankauskas         22Vardenis  8.04
Butkus             23Vardenis  6.00
Petrauskas         27Vardenis  7.12
Ramanauskas        28Vardenis  8.24
Kazlauskas         30Vardenis  7.80
Petrauskas         34Vardenis  7.56
Kavaliauskas       37Vardenis  7.00
Pranevicius        38Vardenis  7.12
Vasiliauskas       39Vardenis  7.48
Butkus             40Vardenis  6.64
Jankauskas         43Vardenis  7.04
Petrauskas         45Vardenis  5.28
Urbonas            48Vardenis  7.84
Ramanauskas        49Vardenis  8.32
Petrauskas         50Vardenis  5.96
Vasiliauskas       52Vardenis  7.92
Navickas           54Vardenis  5.40
Kazlauskas         55Vardenis  5.12
Jankauskas         59Vardenis  6.32
Navickas           60Vardenis  6.24
Navickas           62Vardenis  5.48
Jankauskas         63Vardenis  6.92
Navickas           64Vardenis  8.04
Ramanauskas        65Vardenis  7.48
Kavaliauskas       66Vardenis  6.32
Ramanauskas        69Vardenis  6.28
Petrauskas         71Vardenis  7.28
Kazlauskas         77Vardenis  6.16
Ramanauskas        79Vardenis  6.72
Kazlauskas         81Vardenis  7.28
Petrauskas         82Vardenis  5.60
Ramanauskas        83Vardenis  6.68
Navickas           84Vardenis  7.72
Pranevicius        88Vardenis  8.76
Navickas           89Vardenis  6.68
Butkus             90Vardenis  5.52
Pranevicius        91Vardenis  6.48
Kazlauskas         94Vardenis  5.88
Jankauskas         95Vardenis  6.28
Urbonas            96Vardenis  5.60
Pranevicius        98Vardenis  5.80
Butkus             99Vardenis  7.60
Butkus             100Vardenis 7.60
Jankauskas         105Vardenis 6.24
Ramanauskas        107Vardenis 5.16
Ramanauskas        108Vardenis 8.08
Navickas           109Vardenis 8.32
Butkus             111Vardenis 7.64
Urbonas            113Vardenis 6.96
Butkus             114Vardenis 6.80
Kazlauskas         115Vardenis 7.44
Vasiliauskas       117Vardenis 7.80
Petrauskas         118Vardenis 5.88
Vasiliauskas       119Vardenis 5.84
Kazlauskas         120Vardenis 7.88
Jankauskas         124Vardenis 6.08
Urbonas            126Vardenis 8.08
Petrauskas         128Vardenis 6.40
Jankauskas         129Vardenis 8.00
Jankauskas         131Vardenis 5.48
Ramanauskas        132Vardenis 9.04
Kavaliauskas       134Vardenis 8.80
Kavaliauskas       135Vardenis 6.76
Navickas           139Vardenis 5.52
Kavaliauskas       140Vardenis 7.24
Jankauskas         141Vardenis 7.44
Kavaliauskas       143Vardenis 7.60
Petrauskas         144Vardenis 7.24
Kavaliauskas       146Vardenis 5.60
Butkus             148Vardenis 7.00
Petrauskas         152Vardenis 7.04
Urbonas            153Vardenis 7.60
Navickas           155Vardenis 5.12
Navickas           157Vardenis 6.60
Kavaliauskas       158Vardenis 8.72
Pranevicius        166Vardenis 5.56
Kazlauskas         170Vardenis 5.64
Ramanauskas        172Vardenis 8.24
Butkus             176Vardenis 8.56
Urbonas            177Vardenis 7.92
Urbonas            180Vardenis 5.80
Pranevicius        182Vardenis 5.72
Petrauskas         187Vardenis 7.64
Pranevicius        188Vardenis 7.80
Butkus             189Vardenis 8.08
Butkus             192Vardenis 6.52
Urbonas            193Vardenis 5.24
Urbonas            198Vardenis 7.52
Butkus             199Vardenis 6.56
Vasiliauskas       202Vardenis 7.28
Petrauskas         203Vardenis 5.36
Ramanauskas        204Vardenis 7.40
Ramanauskas        205Vardenis 5.00
Jankauskas         206Vardenis 5.60
Ramanauskas        207Vardenis 6.40
Pranevicius        211Vardenis 8.16
Kazlauskas         213Vardenis 7.32
Petrauskas         214Vardenis 5.84
Jankauskas         215Vardenis 7.52
Petrauskas         220Vardenis 7.44
Petrauskas         222Vardenis 5.80
Butkus             223Vardenis 8.32
Kazlauskas         224Vardenis 5.24
Ramanauskas        231Vardenis 7.12
Pranevicius        233Vardenis 5.20
Vasiliauskas       237Vardenis 6.12
Petrauskas         238Vardenis 5.16
Butkus             240Vardenis 5.76
Vasiliauskas       241Vardenis 6.12
Kavaliauskas       244Vardenis 7.80
Kazlauskas         246Vardenis 7.60
Kazlauskas         249Vardenis 7.56
Navickas           250Vardenis 6.72
Navickas           252Vardenis 8.48
Butkus             255Vardenis 5.60
Butkus             258Vardenis 6.16
Ramanauskas        259Vardenis 5.28
Kavaliauskas       262Vardenis 5.40
Kavaliauskas       263Vardenis 7.56
Navickas           265Vardenis 5.68
Vasiliauskas       268Vardenis 7.12
Petrauskas         269Vardenis 7.44
Ramanauskas        270Vardenis 5.88
Kavaliauskas       271Vardenis 6.76
Kazlauskas         273Vardenis 6.44
Butkus             274Vardenis 5.28
Vasiliauskas       277Vardenis 8.04
Butkus             278Vardenis 5.44
Ramanauskas        281Vardenis 5.88
Butkus             282Vardenis 6.00
Navickas           283Vardenis 6.80
Jankauskas         285Vardenis 8.00
Kavaliauskas       288Vardenis 7.76
Butkus             290Vardenis 5.20
Butkus             292Vardenis 5.28
Navickas           294Vardenis 7.44
Pranevicius        295Vardenis 8.24
Kavaliauskas       297Vardenis 8.08
Urbonas            299Vardenis 5.04
Jankauskas         301Vardenis 5.68
Kazlauskas         302Vardenis 7.68
Pranevicius        305Vardenis 6.64
Pranevicius        306Vardenis 7.60
Petrauskas         308Vardenis 6.44
Butkus             310Vardenis 8.00
Navickas           311Vardenis 5.48
Kavaliauskas       312Vardenis 7.92
Petrauskas         314Vardenis 7.76
Jankauskas         316Vardenis 5.28
Vasiliauskas       317Vardenis 5.24
Ramanauskas        318Vardenis 8.20
Kavaliauskas       319Vardenis 5.12
Pranevicius        320Vardenis 5.20
Vasiliauskas       321Vardenis 6.16
Jankauskas         322Vardenis 7.00
Urbonas            323Vardenis 6.28
Kavaliauskas       325Vardenis 7.40
Petrauskas         328Vardenis 7.52
Pranevicius        330Vardenis 7.56
Kavaliauskas       331Vardenis 7.84
Kavaliauskas       332Vardenis 5.76
Kavaliauskas       333Vardenis 7.40
Kazlauskas         334Vardenis 7.16
Ramanauskas        335Vardenis 6.84
Butkus             340Vardenis 5.36
Urbonas            341Vardenis 7.40
Ramanauskas        344Vardenis 6.20
Kazlauskas         345Vardenis 6.80
Kazlauskas         348Vardenis 6.68
Jankauskas         349Vardenis 8.48
Jankauskas         350Vardenis 7.20
Kavaliauskas       351Vardenis 6.44
Kavaliauskas       352Vardenis 7.32
Petrauskas         354Vardenis 6.48
Urbonas            355Vardenis 7.32
Kazlauskas         356Vardenis 9.28
Navickas           357Vardenis 6.60
Pranevicius        359Vardenis 7.36
Kavaliauskas       361Vardenis 7.00
Pranevicius        365Vardenis 7.40
Urbonas            366Vardenis 6.40
Kazlauskas         367Vardenis 5.88
Jankauskas         368Vardenis 8.00
Vasiliauskas       372Vardenis 7.92
Kavaliauskas       374Vardenis 7.36
Urbonas            375Vardenis 7.68
Ramanauskas        379Vardenis 6.08
Navickas           380Vardenis 5.80
Pranevicius        383Vardenis 8.80
Kazlauskas         384Vardenis 7.16
Kavaliauskas       385Vardenis 5.48
Vasiliauskas       387Vardenis 6.04
Pranevicius        388Vardenis 7.64
Ramanauskas        393Vardenis 7.28
Kazlauskas         396Vardenis 8.64
Vasiliauskas       397Vardenis 5.92
Urbonas            398Vardenis 5.76
Ramanauskas        400Vardenis 5.16
Navickas           401Vardenis 7.88
Petrauskas         402Vardenis 7.88
Navickas           406Vardenis 7.60
Navickas           407Vardenis 8.12
Navickas           408Vardenis 5.48
Urbonas            409Vardenis 8.48
Vasiliauskas       412Vardenis 5.12
Kazlauskas         414Vardenis 7.64
Kavaliauskas       415Vardenis 8.24
Pranevicius        417Vardenis 5.24
Vasiliauskas       418Vardenis 5.80
Petrauskas         419Vardenis 6.12
Navickas           420Vardenis 6.96
Kazlauskas         423Vardenis 7.04
Jankauskas         424Vardenis 6.72
Pranevicius        426Vardenis 9.12
Butkus             427Vardenis 5.24
Vasiliauskas       429Vardenis 5.48
Navickas           431Vardenis 6.44
Urbonas            433Vardenis 5.56
Urbonas            434Vardenis 6.76
Vasiliauskas       435Vardenis 5.84
Navickas           437Vardenis 7.12
Kavaliauskas       438Vardenis 5.80
Pranevicius        440Vardenis 5.48
Petrauskas         442Vardenis 6.56
Kavaliauskas       444Vardenis 6.96
Pranevicius        447Vardenis 7.60
Urbonas            450Vardenis 6.44
Jankauskas         451Vardenis 8.24
Vasiliauskas       456Vardenis 7.32
Jankauskas         461Vardenis 5.52
Butkus             463Vardenis 5.00
Pranevicius        464Vardenis 8.20
Jankauskas         467Vardenis 7.20
Pranevicius        469Vardenis 7.40
Navickas           478Vardenis 5.20
Kavaliauskas       480Vardenis 7.88
Kavaliauskas       481Vardenis 7.04
Navickas           482Vardenis 8.88
Navickas           483Vardenis 6.64
Vasiliauskas       484Vardenis 6.24
Navickas           485Vardenis 7.92
Vasiliauskas       486Vardenis 8.12
Pranevicius        487Vardenis 6.96
Navickas           488Vardenis 7.60
Butkus             490Vardenis 5.72
Petrauskas         491Vardenis 6.36
Butkus             492Vardenis 5.92
Jankauskas         493Vardenis 5.72
Butkus             494Vardenis 5.36
Kazlauskas         495Vardenis 8.32
Pranevicius        497Vardenis 6.00
Vasiliauskas       500Vardenis 5.92
Kazlauskas         503Vardenis 5.80
Kavaliauskas       505Vardenis 6.44
Navickas           506Vardenis 7.80
Urbonas            507Vardenis 7.48
Ramanauskas        508Vardenis 5.40
Jankauskas         511Vardenis 7.12
Kazlauskas         514Vardenis 7.60
Kazlauskas         519Vardenis 8.88
Pranevicius        521Vardenis 5.56
Petrauskas         522Vardenis 6.08
Navickas           523Vardenis 5.04
Kavaliauskas       525Vardenis 7.32
Kavaliauskas       526Vardenis 7.08
Kazlauskas         527Vardenis 5.80
Pranevicius        531Vardenis 5.76
Kavaliauskas       534Vardenis 5.64
Petrauskas         535Vardenis 6.00
Kavaliauskas       537Vardenis 7.16
Urbonas            539Vardenis 8.00
Jankauskas         540Vardenis 7.60
Vasiliauskas       541Vardenis 5.48
Pranevicius        542Vardenis 7.60
Kavaliauskas       543Vardenis 6.24
Pranevicius        544Vardenis 7.80
Vasiliauskas       545Vardenis 5.04
Kazlauskas         546Vardenis 7.00
Ramanauskas        547Vardenis 5.40
Butkus             549Vardenis 7.68
Vasiliauskas       551Vardenis 5.00
Jankauskas         553Vardenis 5.72
Navickas           554Vardenis 8.56
Jankauskas         555Vardenis 7.28
Kavaliauskas       557Vardenis 7.92
Pranevicius        558Vardenis 5.88
Jankauskas         559Vardenis 6.28
Urbonas            560Vardenis 7.80
Pranevicius        563Vardenis 5.28
Ramanauskas        564Vardenis 7.44
Petrauskas         566Vardenis 5.92
Kavaliauskas       567Vardenis 8.24
Vasiliauskas       569Vardenis 6.40
Vasiliauskas       571Vardenis 6.36
Petrauskas         573Vardenis 5.08
Petrauskas         574Vardenis 6.44
Butkus             577Vardenis 7.16
Pranevicius        578Vardenis 6.52
Pranevicius        579Vardenis 7.12
Petrauskas         581Vardenis 6.80
Kavaliauskas       582Vardenis 7.92
Pranevicius        583Vardenis 7.44
Petrauskas         586Vardenis 9.12
Jankauskas         587Vardenis 5.80
Petrauskas         593Vardenis 6.24
Urbonas            596Vardenis 8.88
Butkus             598Vardenis 7.04
Jankauskas         599Vardenis 6.52
Ramanauskas        600Vardenis 8.00
Ramanauskas        601Vardenis 8.56
Butkus             602Vardenis 7.80
Pranevicius        603Vardenis 6.16
