Pavarde            Vardas       Galutinis
-------------------------------------------------------
Jankauskas         1Vardenis   5.80
Kavaliauskas       4Vardenis   8.40
Butkus             5Vardenis   7.80
Urbonas            7Vardenis   6.12
Butkus             9Vardenis   6.52
Navickas           10Vardenis  5.04
Kazlauskas         11Vardenis  7.64
Ramanauskas        13Vardenis  7.76
Kazlauskas         15Vardenis  5.80
Pranevicius        16Vardenis  8.16
Pranevicius        17Vardenis  8.00
Kazlauskas         18Vardenis  6.20
Navickas           19Vardenis  6.08
Navickas           20Vardenis  7.20
Pranevicius        21Vardenis  7.56
Pranevicius        22Vardenis  5.64
Pranevicius        23Vardenis  7.60
Pranevicius        24Vardenis  5.04
Pranevicius        25Vardenis  7.52
Kazlauskas         27Vardenis  8.80
Kazlauskas         29Vardenis  7.60
Kazlauskas         30Vardenis  5.24
Pranevicius        32Vardenis  5.28
Butkus             36Vardenis  5.96
Butkus             38Vardenis  8.56
Urbonas            41Vardenis  6.56
Jankauskas         43Vardenis  7.16
Navickas           44Vardenis  7.80
Navickas           46Vardenis  5.52
Urbonas            47Vardenis  5.12
Pranevicius        48Vardenis  6.76
Vasiliauskas       49Vardenis  8.28
Petrauskas         50Vardenis  6.36
Pranevicius        51Vardenis  7.64
Jankauskas         53Vardenis  5.56
Pranevicius        54Vardenis  5.88
Vasiliauskas       55Vardenis  6.32
Kavaliauskas       56Vardenis  5.68
Navickas           58Vardenis  6.28
Jankauskas         59Vardenis  6.20
Kazlauskas         60Vardenis  5.12
Navickas           61Vardenis  5.80
Ramanauskas        63Vardenis  7.00
Kazlauskas         65Vardenis  6.20
Kavaliauskas       67Vardenis  7.72
Butkus             68Vardenis  6.08
Petrauskas         69Vardenis  7.84
Kazlauskas         70Vardenis  7.04
Kavaliauskas       72Vardenis  9.04
Butkus             74Vardenis  7.24
Kazlauskas         75Vardenis  7.52
Kazlauskas         77Vardenis  7.76
Petrauskas         78Vardenis  7.36
Navickas           81Vardenis  8.24
Urbonas            82Vardenis  5.96
Petrauskas         84Vardenis  8.96
Petrauskas         85Vardenis  6.48
Petrauskas         89Vardenis  6.28
Pranevicius        92Vardenis  5.32
Petrauskas         93Vardenis  6.92
Pranevicius        95Vardenis  6.56
Navickas           96Vardenis  6.84
Butkus             97Vardenis  5.84
Ramanauskas        100Vardenis 8.64
Pranevicius        102Vardenis 8.64
Kavaliauskas       103Vardenis 6.44
Kavaliauskas       104Vardenis 6.24
Vasiliauskas       105Vardenis 7.72
Kazlauskas         106Vardenis 7.60
Petrauskas         109Vardenis 7.76
Butkus             110Vardenis 6.24
Ramanauskas        111Vardenis 7.84
Kazlauskas         113Vardenis 5.92
Ramanauskas        114Vardenis 8.00
Navickas           115Vardenis 7.48
Vasiliauskas       116Vardenis 7.44
Jankauskas         118Vardenis 7.92
Petrauskas         121Vardenis 5.04
Kavaliauskas       122Vardenis 6.56
Navickas           123Vardenis 8.16
Navickas           124Vardenis 5.40
Jankauskas         125Vardenis 7.40
Butkus             126Vardenis 5.12
Vasiliauskas       127Vardenis 7.88
Jankauskas         128Vardenis 8.36
Ramanauskas        133Vardenis 7.32
Vasiliauskas       134Vardenis 7.24
Petrauskas         135Vardenis 5.08
Petrauskas         136Vardenis 5.44
Vasiliauskas       137Vardenis 6.92
Jankauskas         138Vardenis 6.76
Ramanauskas        139Vardenis 8.24
Jankauskas         141Vardenis 6.16
Kazlauskas         142Vardenis 8.48
Kazlauskas         143Vardenis 5.52
Jankauskas         145Vardenis 5.00
Navickas           146Vardenis 5.64
Kavaliauskas       149Vardenis 5.40
Urbonas            151Vardenis 5.84
Butkus             154Vardenis 5.84
Petrauskas         156Vardenis 5.44
Kavaliauskas       157Vardenis 7.80
Kazlauskas         158Vardenis 7.64
Pranevicius        160Vardenis 5.40
Kavaliauskas       161Vardenis 5.40
Kavaliauskas       162Vardenis 6.68
Kavaliauskas       163Vardenis 5.72
Vasiliauskas       165Vardenis 7.76
Kavaliauskas       166Vardenis 7.68
Urbonas            168Vardenis 5.04
Navickas           169Vardenis 6.24
Kazlauskas         171Vardenis 7.92
Petrauskas         172Vardenis 6.40
Navickas           173Vardenis 6.44
Kavaliauskas       174Vardenis 7.84
Petrauskas         175Vardenis 5.36
Kavaliauskas       176Vardenis 6.00
Jankauskas         178Vardenis 7.96
Ramanauskas        179Vardenis 8.00
Jankauskas         180Vardenis 7.44
Jankauskas         181Vardenis 5.16
Urbonas            192Vardenis 6.64
Vasiliauskas       193Vardenis 8.32
Kazlauskas         194Vardenis 5.60
Jankauskas         196Vardenis 5.16
Vasiliauskas       198Vardenis 5.08
Petrauskas         199Vardenis 5.24
Urbonas            203Vardenis 8.04
Butkus             204Vardenis 5.60
Jankauskas         206Vardenis 6.04
Vasiliauskas       208Vardenis 6.00
Butkus             213Vardenis 7.20
Navickas           214Vardenis 8.16
Urbonas            217Vardenis 5.20
Jankauskas         218Vardenis 5.00
Urbonas            219Vardenis 6.40
Butkus             223Vardenis 7.12
Pranevicius        224Vardenis 7.00
Ramanauskas        225Vardenis 7.76
Butkus             228Vardenis 6.48
Butkus             229Vardenis 5.72
Ramanauskas        230Vardenis 6.84
Urbonas            231Vardenis 6.96
Navickas           234Vardenis 7.04
Pranevicius        235Vardenis 6.20
Navickas           236Vardenis 5.36
Butkus             237Vardenis 6.28
Petrauskas         238Vardenis 8.96
Urbonas            239Vardenis 6.32
Kavaliauskas       240Vardenis 8.12
Butkus             241Vardenis 6.28
Kazlauskas         242Vardenis 7.08
Butkus             243Vardenis 5.52
Butkus             245Vardenis 6.52
Butkus             248Vardenis 5.32
Butkus             249Vardenis 6.72
Pranevicius        250Vardenis 5.84
Kavaliauskas       251Vardenis 5.32
Pranevicius        252Vardenis 8.08
Petrauskas         253Vardenis 7.12
Petrauskas         254Vardenis 7.72
Urbonas            256Vardenis 7.48
Petrauskas         258Vardenis 7.16
Urbonas            260Vardenis 5.32
Urbonas            262Vardenis 5.88
Jankauskas         263Vardenis 5.24
Ramanauskas        266Vardenis 5.80
Jankauskas         267Vardenis 6.76
Navickas           268Vardenis 7.52
Kazlauskas         269Vardenis 5.52
Jankauskas         270Vardenis 6.56
Kavaliauskas       271Vardenis 6.24
Kazlauskas         273Vardenis 7.92
Urbonas            275Vardenis 6.96
Vasiliauskas       277Vardenis 7.88
Ramanauskas        278Vardenis 7.08
Petrauskas         279Vardenis 8.32
Pranevicius        280Vardenis 5.12
Navickas           284Vardenis 5.84
Petrauskas         285Vardenis 8.24
Petrauskas         286Vardenis 8.64
Kavaliauskas       288Vardenis 7.64
Kavaliauskas       290Vardenis 6.92
Vasiliauskas       292Vardenis 5.24
Kazlauskas         293Vardenis 7.96
Kazlauskas         295Vardenis 8.00
Jankauskas         298Vardenis 7.52
Pranevicius        299Vardenis 7.56
Navickas           303Vardenis 5.68
Jankauskas         304Vardenis 6.40
Kavaliauskas       305Vardenis 5.60
Petrauskas         306Vardenis 8.80
Kazlauskas         307Vardenis 6.84
Ramanauskas        308Vardenis 8.48
Pranevicius        310Vardenis 7.84
Ramanauskas        311Vardenis 6.72
Butkus             312Vardenis 5.04
Kazlauskas         313Vardenis 6.20
Ramanauskas        315Vardenis 5.44
Butkus             318Vardenis 6.36
Kavaliauskas       319Vardenis 6.28
Vasiliauskas       320Vardenis 7.20
Vasiliauskas       322Vardenis 8.28
Ramanauskas        323Vardenis 6.52
Vasiliauskas       325Vardenis 5.12
Kavaliauskas       326Vardenis 8.08
Pranevicius        327Vardenis 5.00
Ramanauskas        328Vardenis 8.24
Jankauskas         329Vardenis 7.40
Kazlauskas         333Vardenis 6.12
Butkus             337Vardenis 6.92
Kavaliauskas       342Vardenis 6.32
Kavaliauskas       347Vardenis 6.64
Ramanauskas        348Vardenis 6.40
Ramanauskas        349Vardenis 5.08
Urbonas            350Vardenis 5.04
Petrauskas         351Vardenis 7.80
Petrauskas         353Vardenis 8.16
Kazlauskas         354Vardenis 5.40
Petrauskas         357Vardenis 6.32
